,Opportunity Number,Supplies Subgroup,Supplies Group,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category,Route_enco,Oppt_enco,Cmpt_enco
51979,6763538,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,63,Loss,2,30,30,20000,3,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
51980,6763539,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,4,67,67,20000,2,4,0,Known,0.0,1.0,0.0,2,2,0,0
51981,6763542,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,2,68,68,20000,3,4,0,Unknown,0.0,1.0,0.0,2,2,0,2
51982,6763547,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,2,68,68,20000,2,2,0,Known,0.0,1.0,0.0,2,2,0,0
51983,6763553,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,63,Loss,2,30,30,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
51984,6763554,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,57,Loss,2,36,36,20000,1,3,0,Unknown,0.0,1.0,0.0,2,2,0,2
51985,6763555,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,2,68,68,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
51987,6763561,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,2,68,68,20000,2,3,0,Known,0.0,1.0,0.0,2,2,0,0
51988,6763562,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,2,68,68,20000,2,3,0,Unknown,0.0,1.0,0.0,2,2,0,2
51989,6763577,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,2,68,68,20000,3,2,0,Unknown,0.0,1.0,0.0,2,2,0,2
51990,6763581,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,2,68,68,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
52006,6766084,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,6,28,14,40000,5,1,0,Unknown,0.0,0.010791,0.492806,3,2,0,2
52012,6766186,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,2,9,9,25000,1,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
52016,6766360,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,2,3,3,150000,1,3,0,Unknown,0.0,1.0,0.0,5,0,0,2
52033,6766760,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,58,Won,8,35,34,35000,1,2,0,Unknown,0.0,0.452722,0.527221,3,2,1,2
52061,6769641,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,76,Loss,4,17,17,150000,1,5,4,Known,0.295858,0.076923,0.627219,5,0,0,0
52066,6769733,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,28,28,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
52076,6769846,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,93,Won,1,0,0,250000,1,1,0,Unknown,0.0,0.0,0.0,6,2,1,2
52124,6772585,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,2,0,0,51000,2,2,3,Known,0.0,0.0,0.0,4,0,1,0
52127,6772649,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,81,Loss,3,12,12,100000,1,5,0,Known,0.0,0.0,1.0,5,0,0,0
52160,6773372,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,90,Loss,2,3,3,50000,1,1,0,Unknown,0.0,0.0,1.0,4,2,0,2
52172,6776130,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,88,Won,3,1,1,150000,1,1,0,None,0.0,0.0,1.0,5,0,1,1
52234,6779897,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,3,1,1,52000,3,2,4,Unknown,0.0,0.0,1.0,4,0,1,2
52252,6780298,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,2,9,9,20000,2,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
52260,6782609,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,2,8,8,55000,1,5,0,Known,1.0,0.0,0.0,4,0,0,0
52329,6788406,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Loss,2,8,8,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
52367,6790732,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,4,0,0,25000,1,2,0,Known,0.0,0.0,1.0,3,0,1,0
52519,6806486,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,3,4,4,35000,2,1,0,Known,0.0,1.0,0.0,3,0,0,0
52650,6819731,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,1,0,0,0,1,4,4,Unknown,0.0,0.0,0.0,1,0,0,2
52661,6820102,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,1,0,0,0,1,1,0,Unknown,0.0,0.0,0.0,1,0,0,2
52674,6820390,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,88,Loss,2,0,0,55000,1,5,0,Unknown,0.0,0.0,0.0,4,0,0,2
52688,6820497,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,90,Loss,2,1,1,30000,1,3,0,Known,0.0,1.0,0.0,3,2,0,0
52718,6824054,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,1,0,0,72000,5,1,0,Unknown,0.0,0.0,0.0,4,0,0,2
52720,6824083,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,85,Loss,3,5,5,46000,5,1,0,Unknown,0.0,0.043478,0.956522,3,2,0,2
52721,6824114,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,73,Won,4,17,1,90000,1,1,0,Known,0.0,0.0,0.048193,4,0,1,0
52788,6827983,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,1,0,0,0,1,1,0,Unknown,0.0,0.0,0.0,1,0,0,2
52789,6827983,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,90,Loss,1,0,0,0,1,1,0,Unknown,0.0,0.0,0.0,1,0,0,2
52795,6828091,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,70,Loss,3,0,0,10000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
52810,6831069,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,90,Won,1,0,0,1102,1,1,0,Unknown,0.0,0.0,0.0,1,2,1,2
52848,6832062,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,84,Loss,3,6,6,50000,1,4,0,Unknown,0.448276,0.551724,0.0,4,0,0,2
52877,6834994,Batteries & Accessories,Car Accessories,Mid-Atlantic,Telecoverage,45,Won,6,19,17,7000,5,1,2,Unknown,0.278351,0.14948499999999998,0.443299,1,3,1,2
52891,6837362,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,37,Loss,2,53,53,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
52892,6837387,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,25,Loss,2,65,65,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
52956,6840830,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,84,Loss,3,6,6,30000,4,1,0,Unknown,1.0,0.0,0.0,3,0,0,2
52995,6844410,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,76,Loss,2,13,13,0,2,4,0,Unknown,1.0,0.0,0.0,1,0,0,2
53004,6845150,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,2,27,27,10000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
53013,6847758,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,63,Loss,2,26,26,20000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
53017,6847773,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,73,Loss,5,9,9,39200,3,4,4,Unknown,0.0,0.045455,0.954545,3,2,0,2
53047,6848433,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,81,Loss,2,9,9,20000,2,1,0,Unknown,0.0,0.0,1.0,2,0,0,2
53067,6849269,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,77,Loss,3,13,13,50000,3,2,4,Unknown,0.777778,0.222222,0.0,4,0,0,2
53102,6852138,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,3,9,9,5750,3,2,0,Unknown,0.0,1.0,0.0,1,0,0,2
53108,6852400,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,3,4,4,60000,2,4,0,Unknown,0.02381,0.97619,0.0,4,0,0,2
53319,6871013,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,3,2,2,100000,2,1,0,Known,0.947368,0.0,0.052632000000000005,5,0,0,0
53320,6871041,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Loss,2,10,10,10000,1,5,0,Unknown,1.0,0.0,0.0,2,0,0,2
53323,6871160,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,77,Loss,3,12,12,250000,1,1,4,Known,0.0,0.152542,0.847458,6,0,0,0
53386,6875298,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,53,Loss,4,34,34,150000,1,1,4,None,0.265487,0.0,0.734513,5,0,0,1
53419,6878514,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,83,Loss,2,5,5,15000,4,3,0,Known,0.0,1.0,0.0,2,2,0,0
53464,6882811,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,4,2,2,55000,2,1,0,Known,0.25,0.291667,0.458333,4,0,0,0
53472,6883136,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,4,2,2,40000,2,1,0,Known,0.0,0.541667,0.458333,3,0,0,0
53583,6893375,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Won,3,2,2,45000,1,2,3,Known,0.0,0.75,0.25,3,0,1,0
53614,6896295,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,2,3,3,150000,1,5,0,Unknown,1.0,0.0,0.0,5,0,0,2
53621,6896496,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,88,Loss,1,0,0,8000,3,2,0,Unknown,0.0,0.0,0.0,1,0,0,2
53661,6900339,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,82,Loss,2,5,5,30000,2,3,0,Unknown,1.0,0.0,0.0,3,0,0,2
53665,6900366,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,2,2,2,30000,4,5,0,Unknown,1.0,0.0,0.0,3,0,0,2
53666,6900381,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,2,2,2,30000,1,5,0,Unknown,1.0,0.0,0.0,3,0,0,2
53671,6900420,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,73,Loss,2,14,14,60000,2,2,0,Known,0.0,1.0,0.0,4,2,0,0
53675,6900538,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,62,Loss,2,25,25,30000,3,2,0,Unknown,1.0,0.0,0.0,3,0,0,2
53679,6900566,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,86,Loss,3,1,1,35000,2,4,0,Unknown,0.0,0.214286,0.785714,3,2,0,2
53680,6900567,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,81,Loss,2,6,6,120000,5,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
53682,6900573,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,58,Loss,2,30,30,30000,3,4,0,Unknown,1.0,0.0,0.0,3,0,0,2
53746,6904970,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,53,Loss,6,33,25,255000,3,3,0,Unknown,0.0,0.287879,0.457576,6,0,0,2
53785,6905795,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,3,14,14,300000,3,2,0,Known,0.977778,0.022222,0.0,6,0,0,0
53793,6905851,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,84,Loss,2,3,3,240000,2,3,0,Unknown,0.0,1.0,0.0,5,0,0,2
53796,6905901,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,2,2,2,32000,2,1,0,Unknown,0.0,1.0,0.0,3,0,0,2
53802,6905969,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,73,Loss,4,14,10,110000,5,2,0,Unknown,0.0,0.678322,0.020979,5,0,0,2
53866,6910290,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,73,Loss,2,14,14,350000,4,3,0,Unknown,0.0,1.0,0.0,6,0,0,2
53915,6913901,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,63,Loss,7,12,0,70000,2,4,0,Unknown,0.0,0.008695999999999999,0.0,4,2,0,2
53985,6915016,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,64,Loss,10,22,21,250000,1,1,0,Unknown,0.07798200000000001,0.5137609999999999,0.37156,6,2,0,2
54003,6915149,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,64,Loss,5,23,23,50000,1,1,0,Unknown,0.273913,0.473913,0.25217399999999995,4,0,0,2
54036,6915661,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,64,Loss,2,23,23,155000,2,2,0,Unknown,1.0,0.0,0.0,5,0,0,2
54084,6919317,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,80,Won,2,7,7,312000,1,1,0,Known,0.0,0.0,1.0,6,0,1,0
54098,6919684,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,78,Loss,2,9,9,200000,1,5,0,Known,0.0,0.0,1.0,5,0,0,0
54137,6923253,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,71,Loss,2,16,16,220000,5,1,0,Known,0.0,1.0,0.0,5,0,0,0
54138,6923259,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,46,Loss,3,40,40,150000,1,1,0,Unknown,0.8453870000000001,0.154613,0.0,5,0,0,2
54139,6923280,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,4,12,12,350000,5,1,3,Known,0.0,0.008197,0.991803,6,0,0,0
54183,6927457,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,2,25,25,70000,1,5,0,Unknown,0.0,1.0,0.0,4,2,0,2
54211,6928389,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,56,Won,4,30,30,70000,1,5,4,Known,0.086667,0.8466670000000001,0.06666699999999999,4,0,1,0
54216,6928418,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,77,Loss,2,9,9,110000,5,5,0,Unknown,1.0,0.0,0.0,5,0,0,2
54257,6932675,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,59,Loss,3,27,27,105000,1,5,0,Unknown,0.0,0.302583,0.697417,5,0,0,2
54313,6936963,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,57,Won,3,1,1,2000,3,2,2,Unknown,1.0,0.0,0.0,1,2,1,2
54315,6936986,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,75,Won,5,9,9,30000,1,1,0,Unknown,0.122222,0.866667,0.011111,3,0,1,2
54316,6936994,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,37,Loss,3,50,50,105000,1,5,0,Unknown,0.323232,0.676768,0.0,5,0,0,2
54327,6937136,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,3,13,13,101000,2,2,0,Unknown,0.8174600000000001,0.18254,0.0,5,0,0,2
54334,6937294,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,80,Loss,2,7,7,101000,5,3,0,Unknown,1.0,0.0,0.0,5,0,0,2
54385,6940614,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,63,Loss,2,23,23,120000,4,5,0,Known,0.0,1.0,0.0,5,0,0,0
54386,6940680,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,56,Loss,8,25,25,95000,1,1,0,Unknown,0.0039840000000000006,0.996016,0.0,4,2,0,2
54402,6940928,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,72,Loss,2,15,15,101000,3,4,4,Unknown,1.0,0.0,0.0,5,0,0,2
54406,6940976,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,81,Loss,3,0,0,30000,3,2,0,Unknown,1.0,0.0,0.0,3,0,0,2
54407,6940977,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,83,Loss,3,3,3,45000,4,4,0,Unknown,0.580645,0.419355,0.0,3,0,0,2
54498,6948706,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,53,Loss,2,33,33,100000,4,3,0,Unknown,0.0,1.0,0.0,5,2,0,2
54520,6949722,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,86,Loss,1,0,0,120000,4,5,0,None,0.0,0.0,0.0,5,0,0,1
54521,6949755,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,58,Loss,3,28,28,101000,3,3,0,Unknown,0.401434,0.5985659999999999,0.0,5,0,0,2
54561,6957510,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,86,Won,1,0,0,68510,1,1,0,Unknown,0.0,0.0,0.0,4,2,1,2
54581,6958116,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,44,Loss,5,42,42,50000,1,4,0,Unknown,0.186158,0.813842,0.0,4,2,0,2
54646,6961963,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,62,Loss,4,24,24,70000,1,4,0,Unknown,0.0,0.8425530000000001,0.157447,4,2,0,2
54648,6961985,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,84,Won,3,0,0,3000,1,3,0,Unknown,0.0,0.0,0.0,1,0,1,2
54649,6961990,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,85,Loss,1,0,0,50000,1,4,0,Unknown,0.0,0.0,0.0,4,0,0,2
54669,6965167,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Won,2,1,1,9000,5,3,3,Unknown,0.0,1.0,0.0,1,2,1,2
54670,6965168,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,25,Loss,2,60,60,55000,1,1,0,Unknown,1.0,0.0,0.0,4,0,0,2
54738,6970020,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,5,2,2,449000,2,2,4,Unknown,0.043478,0.5217390000000001,0.434783,6,0,1,2
54749,6970209,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Loss,2,6,6,50000,2,1,0,Unknown,1.0,0.0,0.0,4,0,0,2
54793,6975081,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,49,Loss,7,33,33,55000,2,5,0,Unknown,0.0,0.89426,0.10574,4,0,0,2
54800,6975339,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,74,Loss,2,11,11,55000,3,2,0,Unknown,0.0,1.0,0.0,4,0,0,2
54881,6982787,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,63,Loss,3,21,21,150000,1,4,0,Known,0.0,1.0,0.0,5,0,0,0
54883,6982801,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,75,Loss,5,10,10,5000,1,1,0,Unknown,0.083333,0.0,0.916667,1,2,0,2
54929,6986616,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,77,Loss,2,7,7,110000,1,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
54935,6986847,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,65,Loss,4,20,20,150000,1,5,0,Unknown,0.703518,0.125628,0.170854,5,0,0,2
54947,6987210,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,82,Loss,2,2,2,38000,5,4,0,Unknown,0.0,1.0,0.0,3,0,0,2
54979,6990896,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,83,Loss,2,2,2,120000,1,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
54992,6991475,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,82,Loss,2,2,2,190000,3,5,0,None,0.0,0.0,1.0,5,0,0,1
55073,6999088,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,84,Won,1,0,0,6699,2,1,0,Unknown,0.0,0.0,0.0,1,2,1,2
55137,7003470,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,53,Loss,2,31,31,350000,1,5,0,Unknown,1.0,0.0,0.0,6,0,0,2
55140,7003505,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,51,Loss,4,28,28,40000,2,1,0,Unknown,0.0,1.0,0.0,3,2,0,2
55155,7003787,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,78,Loss,3,6,6,20000,5,1,0,None,0.440678,0.559322,0.0,2,0,0,1
55189,7007578,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,75,Won,2,0,0,5000,1,1,0,Unknown,0.0,0.0,0.0,1,0,1,2
55354,7021184,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,60,Loss,3,24,24,60000,1,5,0,Known,0.0,0.0,1.0,4,0,0,0
55388,7024712,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,66,Won,4,17,1,10000,1,2,0,Known,0.0,0.0,0.035088,2,0,1,0
55390,7024760,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,73,Loss,2,10,10,250000,1,1,4,Unknown,1.0,0.0,0.0,6,0,0,2
55398,7024932,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Loss,2,4,4,200000,1,5,0,Unknown,1.0,0.0,0.0,5,0,0,2
55454,7029153,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,83,Loss,1,0,0,650000,4,3,0,Unknown,0.0,0.0,0.0,7,0,0,2
55537,7038851,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,35,Loss,4,48,48,400000,1,5,4,Known,0.428571,0.201681,0.369748,6,0,0,0
55583,7043055,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,79,Loss,2,4,4,250000,3,2,0,Known,0.0,1.0,0.0,6,0,0,0
55633,7046789,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,81,Won,3,1,1,40000,1,1,4,Unknown,0.285714,0.0,0.714286,3,2,1,2
55753,7054921,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,30,Loss,5,1,1,450000,2,4,0,Unknown,0.0,1.0,0.0,6,2,0,2
55771,7055275,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,62,Loss,2,20,20,6000,3,3,0,Unknown,1.0,0.0,0.0,1,0,0,2
55842,7059062,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,65,Loss,2,17,17,55000,2,2,0,Unknown,0.0,1.0,0.0,4,0,0,2
55848,7059268,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,67,Loss,2,15,15,20000,3,3,0,Unknown,1.0,0.0,0.0,2,0,0,2
55861,7059625,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,6,12,10,135000,3,5,0,Unknown,0.125,0.058333,0.633333,5,0,1,2
55878,7062127,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,51,Loss,4,26,26,7000,1,1,0,Unknown,0.326848,0.6731520000000001,0.0,1,2,0,2
55941,7070106,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,82,Loss,1,0,0,104000,5,5,0,Unknown,0.0,0.0,0.0,5,0,0,2
55966,7073627,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,73,Loss,2,8,8,12000,1,1,0,Unknown,0.0,1.0,0.0,2,2,0,2
55988,7074934,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,65,Loss,3,16,2,14000,2,1,4,Known,0.0,0.0,0.093168,2,0,0,0
56017,7078010,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,66,Won,4,8,8,4254,4,4,0,Unknown,0.0,0.807692,0.192308,1,2,1,2
56053,7081717,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,55,Loss,9,11,10,0,3,2,0,Known,0.230088,0.053097000000000005,0.628319,1,0,0,0
56056,7081739,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,5,14,8,253000,5,2,4,Unknown,0.0,0.136691,0.446043,6,0,1,2
56061,7081806,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,81,Loss,2,0,0,15000,1,3,0,Known,0.0,1.0,0.0,2,0,0,0
56072,7084331,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,45,Won,4,2,1,17700,1,1,2,None,0.0,0.5,0.0,2,0,1,1
56081,7084655,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,71,Loss,2,10,10,25000,1,1,0,Unknown,1.0,0.0,0.0,3,0,0,2
56084,7084961,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,72,Loss,2,9,9,20000,4,3,0,Unknown,0.0,1.0,0.0,2,2,0,2
56183,7095424,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,21,Loss,2,60,60,20000,2,3,0,Unknown,0.0,1.0,0.0,2,2,0,2
56213,7096160,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,59,Loss,4,22,22,110000,1,4,4,None,0.665158,0.271493,0.063348,5,0,0,1
56218,7096243,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,66,Loss,2,15,15,150000,1,1,0,Unknown,1.0,0.0,0.0,5,0,0,2
56220,7096258,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,66,Loss,2,15,15,30000,3,3,0,Unknown,1.0,0.0,0.0,3,0,0,2
56258,7099243,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,76,Loss,3,5,5,300000,3,3,0,Known,0.0,0.122449,0.877551,6,0,0,0
56284,7102392,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,65,Loss,2,16,16,4880,1,5,0,None,0.0,1.0,0.0,1,2,0,1
56290,7102597,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,59,Loss,2,22,22,300000,1,4,4,Unknown,1.0,0.0,0.0,6,0,0,2
56401,7113996,Batteries & Accessories,Car Accessories,Mid-Atlantic,Fields Sales,67,Won,3,6,6,14000,5,1,0,Known,0.0,0.0,1.0,2,0,1,0
56413,7116549,Batteries & Accessories,Car Accessories,Mid-Atlantic,Reseller,16,Loss,7,63,60,20000,1,5,0,Unknown,0.0,0.927445,0.011041,2,2,0,2
